x,y
0,93.30341727052829
1,209.4686728727848
2,232.8243298234886
3,318.6309472230721
4,320.48734612934885
5,316.3876312952562
6,300.5089589695041
7,321.2143006934642
8,383.8089962509161
9,441.8543133858013
10,455.7175342502455
11,499.1673227268348
12,490.5701620215684
13,495.3313769465232
14,479.1079679635686
15,484.20733373151626
16,471.2283605743671
17,499.78795578934137
18,471.2210290635261
19,563.2005900805648
20,579.8372993455707
21,590.6926597027542
22,573.613079820872
23,580.8499360774794
24,582.5868193052531
25,575.1124827818923
26,594.3487817173784
27,623.3270665221359
28,656.5515072678878
29,695.8170352243325
30,748.3305110918955
31,712.4948627077824
32,747.8545517776196
33,720.4424126636407
34,757.6219752649315
35,787.0865884800556
36,787.5943395522424
37,802.9663022034149
38,758.8084413790416
39,771.0348510473552
40,769.2166439724593
41,773.6906906665662
42,805.41935124752
43,832.8380498106723
44,844.9245748680382
45,852.7688576137209
46,871.2327838394511
47,880.449872355909
48,895.6962043052133
49,912.3823150352316
50,907.5612336950289
51,916.3008365188255
52,919.2311947604578
53,931.0570978430135
54,940.1433039351025
55,953.8386925054257
56,969.0878825581412
57,970.8649156654819
58,999.611958064894
59,1060.4625844883192
60,1049.413627617341
61,1045.3368858502465
62,1036.926121923611
63,1042.7026365774373
64,1049.0619967338916
65,1081.0728266942763
66,1088.1978267327581
67,1092.7929652794141
68,1086.5833932131202
69,1090.995208823539
70,1096.3010490174613
71,1103.8285783617448
72,1100.1865245909235
73,1096.9946356465064
74,1109.0502512050957
75,1112.55166857799
76,1119.104915034291
77,1125.7940116713535
78,1129.664468302097
79,1135.374327932125
80,1168.7753238981256
81,1171.5165930390635
82,1178.6182003557742
83,1184.8919909168728
84,1187.6587844721766
85,1192.8523602209218
86,1200.2929512508108
87,1207.0074773602005
88,1212.632332510012
89,1219.9518945863522
90,1225.7098904698175
91,1230.575388303925
92,1231.6566455461684
93,1236.8752559452107
94,1245.644513990875
95,1251.7657398808283
96,1268.5420288494502
97,1285.1100273817876
98,1289.4725906123101
99,1291.2830949150584
100,1295.3335188255662
101,1301.0849982741204
102,1303.911670542827
103,1308.855827643451
104,1319.588887172281
105,1324.8476886550154
106,1329.1320245296508
107,1374.095388723309
108,1377.422795195453
109,1382.6128877181397
110,1387.208116944538
111,1386.496786357518
112,1384.9660178238673
113,1389.7534370182757
114,1391.4982230285063
115,1396.0759576997511
116,1382.6121977381279
117,1398.7490283331852
118,1399.2306478198873
119,1403.030023443335
120,1408.731626724907
121,1411.645128230418
122,1414.9882628717512
123,1416.4283990140257
124,1419.2791572408541
125,1422.331905988634
126,1424.0639935350594
127,1426.1101165144582
128,1428.9219371493652
129,1432.6976562693987
130,1424.4099899354073
131,1431.0544488888368
132,1432.6134346143826
133,1436.3732822412587
134,1439.7829418766787
135,1437.205338268845
136,1426.1565085215025
137,1413.2770228030874
138,1408.8904325588283
139,1408.2986263716894
140,1411.7360080668195
141,1414.4218962184111
142,1416.1138941713089
143,1452.6282007231664
144,1455.1946909542337
145,1458.9652089219114
146,1463.5789190721925
147,1473.153233171258
148,1476.8677120975408
149,1463.520190626024
150,1466.141290660159
151,1460.2862504733282
152,1463.0181531896662
153,1489.4541216777673
154,1492.1573135019469
155,1492.1069483624062
156,1498.9520146132015
157,1499.8612914448406
158,1502.3703325523732
159,1503.8563656952542
160,1520.7737280611639
161,1539.418765930283
162,1540.8268592085687
163,1544.189424868415
164,1542.8414274694164
165,1551.4835008828798
166,1542.1940789280218
167,1538.550137476167
168,1554.785697789994
169,1556.8937743429167
170,1559.3455573534327
171,1558.988486154596
172,1574.2679431316783
173,1571.7759075867482
174,1567.4278128475812
175,1568.2303407892273
176,1546.565233602509
177,1544.3580906054112
178,1574.887409023626
179,1572.5324932354938
180,1551.6994119973729
181,1563.7153297802136
182,1560.8295254405568
183,1553.9327810500529
184,1556.7326502512767
185,1572.9730713744052
186,1574.3052521919221
187,1572.7375668552334
188,1584.738888374324
189,1595.221023766664
190,1591.3722942876682
191,1593.4502772051344
192,1625.2766314018345
193,1620.0954804835078
194,1636.2522202394482
195,1635.6194302557358
196,1632.9120150133122
197,1650.5200513379093
198,1682.1603313696362
199,1677.6306852203727
200,1679.1964164332992
201,1683.3510112154931
202,1685.7818201006842
203,1687.8427227727684
204,1693.0059473550818
205,1701.8175174294097
206,1700.55852705202
207,1694.5900867339458
208,1694.260317274879
209,1697.0712685804133
210,1692.686107119103
211,1693.240699259181
212,1697.29265332604
213,1699.4571869636147
214,1683.8939109249125
215,1706.8586469228933
216,1707.9788841711484
217,1703.182390648901
218,1711.7478344740791
219,1713.7222684337423
220,1714.5419942316003
221,1731.6146085293171
222,1726.6563466911268
223,1733.503437103438
224,1729.5598685041841
225,1727.9011089508465
226,1739.183685389053
227,1746.0058003433871
228,1752.1848661442602
229,1763.309503472019
230,1775.9667079064645
231,1795.2461541140358
232,1800.2078400474306
233,1805.8121342317597
234,1806.5891432770431
235,1816.308993707809
236,1838.5406096103457
237,1850.5247122613448
238,1859.6597795531443
239,1859.7847723185348
240,1859.1542222375836
241,1869.7055395883554
242,1897.3000567049767
243,1898.9561302764491
244,1904.79053972776
245,1912.104737056185
246,1911.1234877953148
247,1921.8119579256077
248,1919.8381962985377
249,1925.244398956632
250,1924.1002783294105
251,1929.1490129667804
252,1925.545251777921
253,1924.257037595991
254,1925.8251927670174
255,1919.2915292134937
256,1929.0606522069306
257,1940.3965140685843
258,1936.5979121127907
259,1927.9428858986525
260,1924.5521232846045
261,1915.7370982859068
262,1921.7218283905281
263,1919.375626588847
264,1915.207218029288
265,1911.4129348343079
266,1914.2622263885085
267,1916.3751673794993
268,1927.606412392932
269,1927.5974356506197
270,1935.22162353062
271,1932.9306694470968
272,1934.3160514185706
273,1931.8249497023037
274,1942.0392841645619
275,1949.9546280524346
276,1938.4248782333195
277,1942.305430471825
278,1944.2589484110906
279,1946.162227847976
280,1945.1905239531907
281,1932.4068294985168
282,1956.8464013274233
283,1966.8801479213773
284,1975.172855250603
285,1974.3093603893872
286,1979.4963336623698
287,1987.6962633311543
288,1990.672314648091
289,1998.2581704700688
290,2006.638391936722
291,2016.5877561890832
292,2043.8856114118603
293,2044.8923907827418
294,2051.835262533711
295,2051.0668743266333
296,2045.9380539920653
297,2054.733537523046
298,2062.1878713490155
299,2066.0886060344465
300,2064.1672224599706
301,2063.819991784776
302,2057.984749877727
303,2051.210472188003
304,2051.634871640322
305,2057.3677725363104
306,2056.8052279670133
307,2064.834816834799
308,2065.1627653056858
309,2066.22479759148
310,2076.2957463117264
311,2088.5217499754435
312,2094.0973172679437
313,2100.29366775992
314,2094.651527855944
315,2084.585508196443
316,2090.072669436181
317,2098.491194951419
318,2108.48543477806
319,2106.0309446548017
320,2121.6685563618885
321,2127.5677945571165
322,2118.471580180818
323,2133.0207711663084
324,2129.874924985168
325,2139.5919604733404
326,2147.7847729502582
327,2148.639199174472
328,2131.0699993589196
329,2127.3049942947464
330,2116.5060902237524
331,2125.4719945584357
332,2126.4314331298187
333,2124.399346530271
334,2143.344064549601
335,2145.2615571956644
336,2141.463168343962
337,2135.3776742778523
338,2135.706689512684
339,2141.578080175251
340,2147.0054727378583
341,2152.813292140033
342,2155.0848213469912
343,2156.7248932206508
344,2163.6010949767656
345,2161.100887673975
346,2157.3159445071096
347,2156.7839460420273
348,2153.3715474499054
349,2157.3105467395403
350,2156.1036998581894
351,2157.7158676362656
352,2182.981225538051
353,2187.369418938607
354,2175.346382496674
355,2172.3218017904665
356,2180.2922340735854
357,2175.5802191383614
358,2174.0107685965963
359,2172.7871527006732
360,2171.8278938713347
361,2175.709229243463
362,2182.226418973077
363,2177.1025203688737
364,2203.1977450008458
365,2209.430346309794
366,2212.346418241718
367,2237.1846546779498
368,2261.848907321497
369,2294.6519005278956
370,2277.8006038114127
371,2289.324503855315
372,2296.1173874981137
373,2291.880501647876
374,2293.3863040521032
375,2295.648919877062
376,2297.2147457133447
377,2299.3596115289893
378,2297.801668640999
379,2305.0369776589323
380,2311.637381039722
381,2313.0888983954737
382,2308.1701219566803
383,2309.4928696254156
384,2303.035228227107
385,2303.719809504552
386,2305.5795448679733
387,2307.340795394069
388,2324.6283013442967
389,2321.273322625275
390,2316.501059706588
391,2325.9222815767403
392,2321.778451539974
393,2343.920920691316
394,2344.741414647477
395,2345.37331932112
396,2333.7415985297275
397,2330.401201303569
398,2326.523241111217
399,2332.095562252921
400,2327.8379823850673
401,2328.405589795217
402,2340.7386165257553
403,2343.7878454057436
404,2345.5642895720207
405,2376.7980713859843
406,2378.687411309088
407,2390.2584777652332
408,2386.723516714134
409,2387.374894605296
410,2389.994872719846
411,2389.3072353879975
412,2393.0847841318046
413,2403.670434520224
414,2414.3506319344137
415,2415.9774299325536
416,2408.2633949800434
417,2409.5615134906634
418,2409.614492758979
419,2412.300187783457
420,2437.089365186174
421,2437.0241117476153
422,2447.2840587612714
423,2456.361954065212
424,2456.068302566199
425,2457.2895965703165
426,2443.9008889845995
427,2440.9322587623346
428,2436.217918614577
429,2445.5956763839754
430,2442.927861947525
431,2468.825011979318
432,2497.68224966697
433,2492.3559358286957
434,2487.834821430911
435,2497.7100303861766
436,2512.121288905566
437,2509.273056612778
438,2505.3706130694773
439,2503.507167468197
440,2494.0695650953708
441,2516.3446611671143
442,2539.602004179047
443,2546.7228027925125
444,2568.3249901801532
445,2580.763263536696
446,2578.152302766967
447,2584.1111629246143
448,2593.005024018956
449,2592.2762538192997
450,2589.219594862957
451,2597.352015988086
452,2605.0980453096677
453,2611.2898867712124
454,2622.36710757575
455,2619.5424425238907
456,2629.2673816418096
457,2625.260518785289
458,2626.784611041125
459,2629.564335211494
460,2626.2807455200596
461,2634.161884456948
462,2633.1123190805565
463,2634.5065899545784
464,2629.4101545975404
465,2649.6294457365807
466,2645.6151619137363
467,2651.0062307698568
468,2655.158368720123
469,2653.980588215651
470,2654.7855752213204
471,2659.136857420152
472,2681.9223496678173
473,2691.1466872831256
474,2710.8925710252765
475,2716.211603405917
476,2728.568010354562
477,2730.8856162642014
478,2745.880269544969
479,2736.5621069778263
480,2751.7719126839697
481,2754.9564311345507
482,2761.9884265768883
483,2755.557614359363
484,2758.0861047201192
485,2763.969186822787
486,2777.2403694330346
487,2778.1792389402212
488,2779.7117925555767
489,2803.765930063075
490,2823.4056499522103
491,2821.8754574885365
492,2819.238196704381
493,2826.8435360510075
494,2834.092811226331
495,2838.8253265587223
496,2844.350776525827
497,2841.426329857062
498,2837.1805272148454
499,2846.055624195468
500,2855.2972407919037
501,2868.065495569995
502,2877.7438387145266
503,2879.6809374729833
504,2876.0466458542223
505,2864.291335216431
506,2873.53963279463
507,2879.4164084380336
508,2905.3134377255114
509,2907.270886404602
510,2897.1621147568712
511,2922.860463366174
512,2950.7229665769737
513,2947.293413906129
514,2967.0358218330975
515,2974.8360594195688
516,2970.2453362813594
517,2972.2053828745898
518,2986.5840581493435
519,2985.7076194716374
520,2981.04849743403
521,2993.9411646106155
522,2995.7323922315486
523,3004.671368189159
524,3020.527276459303
525,3037.66867674197
526,3061.6976753383433
527,3088.371414478332
528,3112.202228736388
529,3104.0935593772692
530,3126.4963966897067
531,3127.3557978257545
532,3146.196392149555
533,3141.8718475825813
534,3169.899742229301
535,3164.70039733111
536,3186.6027595518067
537,3186.5207741812123
538,3204.935661075508
539,3219.4680258796175
540,3235.172323232447
541,3254.91704933616
542,3263.2507296215663
543,3265.543655132284
544,3274.3597926385014
545,3278.3290850226354
546,3283.9493682506554
547,3290.141426125153
548,3319.069501460096
549,3309.7849591618456
550,3326.687262121263
551,3330.3523886529138
552,3347.8037754839233
553,3352.6549531971314
554,3352.633107913532
555,3359.7983818140738
