x,y
0,42.80242646412237
1,19.533407293104148
2,23.282495227375815
3,68.4628672076114
4,52.12195283675395
5,55.65734037667238
6,37.09846816649624
7,45.74772230600399
8,62.19292256617583
9,96.78516739534237
10,100.5474257893327
11,93.30138205814156
12,98.81415227985596
13,114.64517991712367
14,123.97139374376732
15,141.86376258884968
16,127.82287334283129
17,154.3840296943959
18,157.05168095580458
19,172.2710411188969
20,187.436140946144
21,199.65795290878967
22,213.65674413285754
23,226.55132840999508
24,234.05760943613222
25,246.79884806976648
26,259.10497156362624
27,269.81658103626626
28,267.4748004146694
29,267.2217636264896
30,265.13490853076684
31,269.182430101223
32,279.0888791030809
33,275.8631404064044
34,274.19414396949264
35,278.9013889079818
36,277.21514872821916
37,280.8858389968743
38,288.3345306968814
39,296.54211397384574
40,299.38169768738493
41,302.95060822600294
42,307.5414516995033
43,312.23168426716563
44,311.1682007490527
45,317.35908052372264
46,320.35056272969456
47,327.72131852945273
48,333.0529254588784
49,331.2157565203587
50,336.11729603846334
51,346.99243087146755
52,327.417833394955
53,330.5426655185861
54,338.8322462558599
55,339.6303427234699
56,347.88887669138836
57,354.6611888823919
58,363.48766166336566
59,368.148462056607
60,375.51180288322735
61,374.63880051719855
62,382.6763883078899
63,362.3672914607797
64,367.9687404683686
65,351.9590573939751
66,352.6760217152507
67,346.45100319651755
68,346.69365933612556
69,343.75052672945424
70,347.78864293857737
71,347.4215352440429
72,350.216768133815
73,361.0501494015575
74,357.02603279043
75,364.4444261153809
76,369.8663342624382
77,371.50590918279823
78,379.5161941644322
79,384.8280160899036
80,387.4817273163173
81,385.9275961073825
82,390.3422594126338
83,391.47413755675086
84,388.30460095831404
85,382.92055404171197
86,374.85163242616636
87,375.4721770527783
88,377.69439904617843
89,373.7762587865651
90,374.5873511515957
91,384.83384886562106
92,387.3901022484657
93,388.38709296129315
94,392.3127821362287
95,396.2825840110584
96,393.40001306888286
97,402.96893874540956
98,400.851844859644
99,403.57558556643363
100,406.6584657633619
101,409.7954439241627
102,413.9173907262893
103,413.5222104649075
104,410.85889317515887
105,409.6553183511165
106,409.10685571703556
107,411.52182114526863
108,401.30046516196023
109,404.37391337233043
110,403.8160624042529
111,402.8324610856566
112,408.3118987968147
113,422.2912244653911
114,421.77103941427947
115,420.0211727082023
116,434.6900563290744
117,436.63559255189324
118,451.76619157862297
119,457.3470057457064
120,461.2588341474533
121,467.1714633049416
122,479.10951556546127
123,480.58054770591565
124,489.56139715583623
125,496.5701749930573
126,501.3825563416021
127,505.17556738441635
128,501.6230844996327
129,507.6836400517736
130,509.4298559035617
131,515.8506478051982
132,505.29522110773127
133,511.3081674829765
134,514.045094849073
135,530.9559246375928
136,537.6026234236629
137,535.7433963116397
138,540.9713005566831
139,539.5590955941258
140,543.6986351197057
141,549.0692838699458
142,554.7695082743622
143,562.1791185377465
144,564.0797129467717
145,577.1980096284539
146,582.9561526672495
147,579.7255800550607
148,596.1871486938971
149,600.8040230223037
150,601.3757778016262
151,600.3327593233153
152,593.1971346694222
153,593.478674930912
154,593.3221019527061
155,598.6201753844684
156,611.0100756092112
157,612.8433743438719
158,614.5497205062919
159,623.0073195612816
160,620.1204601894032
161,623.5019430171187
162,626.9663094093402
163,612.1689163786306
164,615.1850581073422
165,612.5443232196784
166,613.8680883318241
167,629.0138225546435
168,630.6155406805834
169,631.9464965539854
170,630.8221436329192
171,629.6077615128075
172,645.8862005301239
173,662.2576076856396
174,671.613599855136
175,674.4763153325052
176,682.4475937701501
177,685.8129140897577
178,697.0301093255501
179,716.2102244946423
180,724.5940209283244
181,731.6471419201209
182,735.7227031089615
183,751.8648474438997
184,760.0424455468552
185,758.9539276918279
186,773.5749657123085
187,772.6799552573005
188,782.6456954920077
189,782.8943665558031
190,780.8858548428224
191,792.0682724273694
192,787.540071036406
193,782.6762656948404
194,789.79323560875
195,788.7560223326844
196,798.3802772875865
197,798.5588446440777
198,808.8157038634359
199,808.5817479604411
200,817.4458977362393
201,816.8237388987105
202,826.1120539592428
203,842.708320038564
204,853.4642317741802
205,859.8077334545466
206,869.5998775269586
207,879.3898873941204
208,877.2624529127778
209,893.9167765407672
210,899.2387454924548
211,904.7050822575023
212,916.7324633752212
213,928.2659508725086
214,942.1426053167223
215,958.3665543119794
216,974.6617105530348
217,967.1205020272257
218,981.1698695260397
219,992.5912494987131
220,1012.538248474962
221,1004.2897882851667
222,1025.6611721664788
223,1025.3227009842906
224,1033.8441127301335
225,1030.557639732263
226,1030.8758735146998
227,1039.342101589742
228,1053.6697487899387
229,1052.0431946108172
230,1058.7556019654537
231,1055.5491257992721
232,1043.7220647826462
233,1047.815650858027
234,1047.0416422962091
235,1055.8558268587508
236,1055.631570632984
237,1071.7799178573762
238,1071.1069412399456
239,1062.4737006954622
240,1061.8712554757788
241,1078.7679170059962
242,1077.0781881205937
243,1085.1046132956437
244,1086.5855226083736
245,1094.4237209144637
246,1100.0551022935485
247,1106.7061003766273
248,1096.8975478366103
249,1109.460547257183
250,1121.8731657416472
251,1137.8593303317652
252,1126.0206204057413
253,1122.4782542950468
254,1137.805345704489
255,1156.0329307236448
256,1168.8706348297685
257,1168.434998177626
258,1187.9926530924029
259,1192.624417352166
260,1198.1716069945574
261,1206.4174572978782
262,1202.2710748096038
263,1214.5442219642773
264,1213.835408871844
265,1230.6997540272807
266,1239.8928394078816
267,1237.660433500354
268,1235.749138480706
269,1226.7998778923397
270,1246.2858724534474
271,1257.1849865348304
272,1273.289598592101
273,1259.6325091651727
274,1250.8073835750167
275,1250.388815037693
276,1267.4972028892541
277,1282.3543425484804
278,1270.2628075840744
279,1281.802052155389
280,1293.722472387132
281,1309.578021521793
282,1323.1571132009767
283,1310.4598248246043
284,1295.9684683966402
285,1294.703885083431
286,1293.2557228496978
287,1304.4595961353496
288,1303.3443485265059
289,1300.0630644669359
290,1293.645860927468
291,1304.8657635005102
292,1324.6827627967648
293,1322.0697343075278
294,1342.4957271975636
295,1339.7588572614823
296,1348.4160427485167
297,1344.768882584146
298,1359.9151114265705
299,1378.5200463510098
300,1395.1314137778045
301,1393.5913960215207
302,1392.7828293697623
303,1403.6319921496502
304,1406.1908634589333
305,1425.7293951397533
306,1443.2008872987828
307,1464.1078506570223
308,1458.4817349397315
309,1477.4993909196294
310,1491.5014616255096
311,1504.8986070001306
312,1501.7732196592103
313,1513.9642846787601
314,1525.3111035293155
315,1547.9948709702012
316,1543.5789076785522
317,1536.8414380574693
318,1543.3988979679148
319,1542.1124921644214
320,1545.030163025371
321,1536.4633992472334
322,1528.917441807155
323,1542.196367567923
324,1535.2692223102047
325,1534.1297256086366
326,1539.2760278449048
327,1562.1611630687892
328,1550.6428817791464
329,1564.0745093459059
330,1557.2301164922362
331,1557.9671149810654
332,1552.224498096327
333,1572.5777357807037
334,1588.311461772171
335,1591.952997039782
336,1583.5064795709613
337,1583.1974124489163
338,1593.9859303213339
339,1597.008098737983
340,1598.5146695866858
341,1602.0739573059768
342,1610.424587505612
343,1622.660667782536
344,1620.2416903403287
345,1620.0756006710913
346,1622.7532347604322
347,1640.5385504230467
348,1660.905770621609
349,1659.4129619981236
350,1670.0201088111305
351,1658.7126991725584
352,1648.0528517269906
353,1645.888368193029
354,1642.0073168198164
355,1656.1147923138851
356,1670.429095288977
357,1682.029507568507
358,1685.58982843781
359,1683.671661174847
360,1672.0608664393733
361,1667.8879731824964
362,1665.6076579474902
363,1657.8455412579854
364,1672.2758192567094
365,1669.949447685544
366,1684.3450281715375
367,1682.0073129392474
368,1679.1737911012178
369,1670.8707951289427
370,1663.0717827536823
371,1666.3980163641113
372,1674.780499785039
373,1683.4637833129914
374,1699.596043745262
375,1697.5308901099336
376,1707.523965324554
377,1706.8803842159402
378,1698.6529204056756
379,1695.284043599427
380,1692.7690307560351
381,1690.3024445710205
382,1688.0374244388045
383,1683.7927651676534
384,1680.7006669884524
385,1688.8315853548754
386,1699.1590230558568
387,1691.5761564512102
388,1701.3940371205847
389,1719.3062809381854
390,1717.381322980468
391,1737.4244182826699
392,1751.3329797581132
393,1750.0750464757416
394,1742.5180116875208
395,1752.2916365418373
396,1762.3517374882426
397,1755.6359134426368
398,1778.9822887543016
399,1802.7847955300865
400,1798.2625585661087
401,1816.5546223953536
402,1824.3207067693713
403,1844.9592159049882
404,1842.831046888717
405,1867.972310008264
406,1876.4696430424926
407,1877.8804451029773
408,1880.2411513089362
409,1869.3171223112697
410,1892.7743499316998
411,1880.1480857335819
412,1876.18495662785
413,1866.0816806987025
414,1859.3773492676037
415,1859.417231350038
416,1855.6958128060242
417,1861.3722409519735
418,1890.2657760386435
419,1886.4518503377756
420,1883.7019886887163
421,1891.6184999537927
422,1915.7344362846331
423,1905.069720598964
424,1921.1616493620572
425,1910.7524026054284
426,1915.4246899718007
427,1934.0102660027692
428,1924.8512326680843
429,1916.0240132617412
430,1936.149614233
431,1945.7248530033783
432,1942.2781260230881
433,1949.2117961333436
434,1950.9674628642194
435,1943.1555190795054
436,1957.9660093061768
437,1949.4979746780846
438,1973.9574575483173
439,1973.0476174617695
440,1988.403183168149
441,1985.530878665152
442,1975.9495420415278
443,1973.470696902186
444,1962.7549670101607
445,1962.691344151457
446,1951.160942068178
447,1948.5130784260189
448,1937.308488544152
449,1951.4577817536835
450,1976.4678463834798
