x,y
0,-14.162233569813802
1,34.0891067048164
2,48.61657601130938
3,53.349646564118245
4,38.535167664599285
5,45.95538359329577
6,83.04065950393955
7,74.632682388646
8,81.4911922243354
9,88.99668691748006
10,99.37313613133914
11,114.52693828878455
12,116.9489711350221
13,130.1507182482646
14,144.10086302125407
15,162.6276842782665
16,180.2890890990786
17,182.88764026155988
18,182.09965348171067
19,188.39105334809602
20,208.5789307889426
21,212.6725395661706
22,225.80287102739862
23,239.8872573071345
24,241.4397457469346
25,249.60732908822644
26,259.8470426710326
27,272.4754441302712
28,248.59365353729441
29,243.98768236104658
30,252.3769346558797
31,255.9271439452948
32,267.8266768733638
33,279.6716755744563
34,278.76173172400405
35,279.35114136472953
36,279.34499778500145
37,283.4566404686274
38,287.51825976110814
39,291.35771619735505
40,295.6567083984181
41,297.66212963793635
42,305.369674406219
43,310.49682198608485
44,308.5272136141901
45,317.6264227743636
46,315.92177848822814
47,322.4011871023402
48,333.5544091395381
49,338.62462623873864
50,339.00412255044824
51,346.41166112278887
52,353.7920538921591
53,343.7419322068602
54,348.631215812874
55,355.74715561703164
56,361.3947743642902
57,358.0711171833938
58,365.46975373834965
59,351.4644132823011
60,360.9418714155248
61,358.99274696753884
62,365.24225346683505
63,363.2762095987482
64,363.64455497289
65,369.16189152633046
66,371.1005869329203
67,378.6690085324638
68,367.8841338013349
69,374.1450921739103
70,383.3605912321986
71,389.4573477839328
72,388.5063553801814
73,395.3431007193874
74,393.4360929256235
75,397.9086098429598
76,402.77204423939645
77,404.38202535206136
78,410.70812335894567
79,416.01916810103313
80,426.71300974850135
81,414.33347202059286
82,422.39359050914067
83,426.9143099346911
84,424.1795349983323
85,423.2249144281183
86,427.77549547416123
87,435.6191690018302
88,439.39597439920306
89,442.00033865455987
90,439.8721486646922
91,439.8106408896237
92,448.0589697888579
93,444.4167327139431
94,449.69872918000175
95,451.4022175937799
96,456.5179700076748
97,447.1399422143639
98,447.1249351074258
99,437.11101602600945
100,445.39348361442745
101,442.6347207107879
102,445.1346912861608
103,444.0553958475557
104,440.8483492157517
105,443.3414370851909
106,448.4991575674274
107,452.46472693660036
108,453.49184689797454
109,455.50084406365204
110,456.9516216126183
111,461.71762359101274
112,466.70163200520017
113,463.5300016398266
114,471.3794171121748
115,475.82326108640274
116,485.6681614306706
117,485.7440624443566
118,480.6946236947368
119,483.09155958088576
120,480.82235200246157
121,483.40721378841477
122,480.56487958702616
123,482.79729473874755
124,485.48224129473397
125,484.6197453772833
126,487.31398595358445
127,481.8541891714594
128,481.037013684831
129,483.55570242486937
130,483.2203658499559
131,472.19694784040894
132,471.1010043968458
133,469.4121312776083
134,469.16115719551436
135,471.08139018364403
