x,y
0,2.316869433807048
1,20.107130896685824
2,23.14792091580152
3,51.23026644668741
4,55.01418561514257
5,64.67026579720799
6,79.94685997590057
7,123.83449706849959
8,123.80126665076666
9,120.29193972074563
10,105.18066998423791
11,99.65270028142363
12,107.92581076916703
13,110.99155333867338
14,118.62778234832145
15,128.2970775688293
16,141.27313753363865
17,145.43240134480655
18,154.74596059270615
19,160.80772465084667
20,174.640426029176
21,187.91006628789958
22,204.17610223038326
23,221.72522091038434
24,233.01398480493515
25,239.87113022439144
26,248.52362643271752
27,258.72135997207045
28,260.3344539379313
29,258.86844783986186
30,263.29777261936766
31,261.3218482894635
32,272.6364129286913
33,279.89379693793177
34,287.15996342229346
35,299.33304702048304
36,304.0661600326059
37,316.85645995534526
38,323.3307402313196
39,305.4922411404259
40,301.943347956612
41,311.39928277720094
42,319.3064273124641
43,316.46265707876734
44,323.6600421381532
45,329.91297335744537
46,322.8962103176979
47,318.505617673596
48,325.2297217069263
49,331.21270072120734
50,340.45138024175776
51,327.6489165978318
52,333.8243886650857
53,340.2900433309526
54,344.4606691817842
55,332.0072672123132
56,334.5409360946058
57,303.7434833503748
58,308.27611356412217
59,304.38744331785114
60,304.3520360070269
61,305.79528344015915
62,303.0225421680251
63,313.4220729193904
64,314.91467168720436
65,313.2902271010482
66,314.0870575509225
67,312.6546199848401
68,318.0382529592944
69,327.0476388743739
70,338.52085683502315
71,343.44128590246424
72,349.2794983718953
73,354.83937366448356
74,361.5630951459271
75,368.6863830484911
76,374.0914656274166
77,378.27580263297597
78,385.5120225515465
79,396.88182399950665
80,396.4578717439843
81,409.0399488687847
82,411.3432460375271
83,422.7809617796922
84,421.58167500408246
85,424.39787420007167
86,434.03858347356135
87,431.2877450307418
88,423.847784606855
89,424.5232406761648
90,420.9422008231682
91,414.0976388549958
92,415.99463775807277
93,411.7257984485982
94,424.18440294034593
95,426.7362856641837
96,433.34257474983576
97,430.5934282889854
98,429.8343156911147
99,430.55631447032357
100,439.4983662842491
101,445.0822288525798
102,456.1494705495594
103,449.9814364881996
104,455.9393108747861
105,454.9985435388857
106,452.48923890264825
107,451.3953831214008
108,452.4845678854982
109,452.82315705864744
110,458.379041754298
111,457.624878571671
112,455.02848841864625
113,452.3598243913721
114,459.83806554334
115,455.48964359769184
116,461.093308340581
117,464.38806791375623
118,467.50796740220886
119,467.50181898783563
120,472.4224279969881
121,475.6710111339484
122,474.6472883481586
123,476.18135776663695
124,478.04328219680804
125,484.45252404193207
126,482.6842248026895
127,480.25704706734376
128,480.9917298258639
129,480.69472889778666
130,482.27124533590114
131,489.19695850857966
132,491.08943652718204
133,495.41075160179133
134,495.8196308181761
135,501.83305972784933
136,503.01611330185807
137,502.25497947649444
138,505.1398247903201
139,506.08580810382637
140,506.54889629930665
141,515.9787625666257
142,526.7154274310417
143,533.8728954999189
144,539.1296846884941
145,542.5521916139253
146,552.7459415087533
147,564.9622634975572
148,568.5979733279554
149,570.9552853503839
