x,y
0,28.85407401281371
1,81.96820717294392
2,89.95052860929928
3,122.8991706878773
4,120.53542105754752
5,135.37092293655022
6,139.2489446369638
7,156.73944592779065
8,166.41441583378506
9,167.4272570052213
10,168.76012558964968
11,173.7698701376136
12,177.88126623220705
13,180.9527485301431
14,182.4250060126459
15,197.15989723000428
16,206.65442325558635
17,208.48431515014784
18,222.41425863131772
19,226.7741335965108
20,232.03008252007385
21,237.191680198328
22,249.8655958587942
23,257.3101210404262
24,270.6699939884018
25,269.3450821236283
26,278.2700976934019
27,283.6149858057041
28,293.7857317262252
29,304.7957013863104
30,311.1399902152495
31,308.72006253571567
32,319.5794840767431
33,321.3056638546029
34,330.4801390048107
35,332.5537106062217
36,333.0776280259551
37,328.65715212384725
38,335.8722484223967
39,333.085058069798
40,340.0218659885507
41,335.24720502590776
42,343.4870539072618
43,341.1904189628028
44,347.59911389680263
45,329.3669164425229
46,336.29274426603024
47,345.44720633540527
48,345.2912071730965
49,346.67072193800414
50,344.5895007341914
51,350.6783853998952
52,341.73187588226915
53,343.98305052103086
54,352.10768527031496
55,353.0117912621693
56,360.30250595844456
57,366.2052399982507
58,335.514942605955
59,340.7026802774405
60,354.31888635983466
61,354.53008936378313
62,358.16221490862364
63,358.39752536963255
64,368.2316820111019
65,360.0436164458773
66,357.429177175991
67,352.0389457545951
68,352.9273331632154
69,358.03181447615253
70,363.0477837306683
71,341.57276461504534
72,354.1776975287407
73,359.3696247212942
74,362.90841148376046
75,368.5646832099155
76,371.87204444495734
77,376.3447446697423
78,381.6629145958701
79,383.8300540555739
80,384.7718001580197
81,394.4298580380655
82,389.2750721611642
83,388.7668727366675
84,390.1468451976626
85,394.73512653407414
86,407.6325524961887
87,406.01748867370037
88,403.3797519279731
89,397.36247904571314
90,392.085648926501
91,397.87267616725495
92,402.3571564327988
93,392.04795616642133
94,390.6744763464275
95,401.33021528273343
96,393.9419977097441
97,391.7657770364417
98,386.95632943522196
99,390.68171565531287
100,394.699781201553
101,394.006694803685
102,387.03188067069124
103,378.81882309094357
104,378.37020147338603
105,390.70066872535335
106,385.77203598682513
107,385.1543022063205
108,372.0362390933775
109,374.40579430617663
110,384.0913598452392
111,376.7456141674142
112,373.8315921835608
113,377.8441955494855
114,382.1996532040719
115,383.8224466468165
116,380.99644052961054
117,381.163914977572
118,383.30088660006976
119,364.836814773879
120,368.32073800432164
121,367.22379903487024
122,359.38086251966934
123,365.35226729850007
124,358.36200293061637
125,362.4765051827217
126,364.0513160003087
127,368.8361713915032
128,370.9636887653039
129,366.5865143022118
130,368.0797031029545
